Z,q,Binding Energy (eV)
1,0,13.598434599702
2,0,79.005154539
2,+1,54.4177655282
3,0,203.4861711
3,+1,198.0944562
3,+2,122.45435913
4,0,399.14864
4,+1,389.82595
4,+2,371.614789
4,+3,217.71858459
5,0,670.98383
5,+1,662.68582
5,+2,637.53099
5,+3,599.600401
5,+4,340.2260225
6,0,1030.1085
6,+1,1018.8482
6,+2,994.4651
6,+3,946.57727
6,+4,882.08376
6,+5,489.99320779
7,0,1486.058
7,+1,1471.524
7,+2,1441.9225
7,+3,1394.4772
7,+4,1317.0037
7,+5,1219.11355
7,+6,667.0461377
8,0,2043.8429
8,+1,2030.2249
8,+2,1995.1038
8,+3,1940.1682
8,+4,1862.7547
8,+5,1748.8558
8,+6,1610.73688
8,+7,871.4099138
9,0,2715.891
9,+1,2698.468
9,+2,2663.497
9,+3,2600.789
9,+4,2513.615
9,+5,2399.3658
9,+6,2242.2027
9,+7,2057.0158
9,+8,1103.1175302
10,0,3511.696
10,+1,3490.132
10,+2,3449.168
10,+3,3385.746
10,+4,3288.556
10,+5,3162.309
10,+6,3004.375
10,+7,2797.1045
10,+8,2558.0075
10,+9,1362.199256
11,0,4419.96
11,+1,4414.83
11,+2,4367.54
11,+3,4295.92
11,+4,4196.99
11,+5,4058.59
11,+6,3886.36
11,+7,3677.849
11,+8,3413.657
11,+9,3113.8014
11,+10,1648.702285
12,0,5451.06
12,+1,5443.41
12,+2,5428.39
12,+3,5348.24
12,+4,5238.98
12,+5,5097.64
12,+6,4910.88
12,+7,4685.87
12,+8,4419.94
12,+9,4091.958
12,+10,3724.4688
12,+11,1962.663889
13,0,6604.95
13,+1,6598.96
13,+2,6580.13
13,+3,6551.68
13,+4,6431.69
13,+5,6277.87
13,+6,6087.38
13,+7,5845.62
13,+8,5560.98
13,+9,5230.77
13,+10,4832.122
13,+11,4390.11729
13,+12,2304.140359
14,0,7888.53
14,+1,7880.39
14,+2,7864.03
14,+3,7830.54
14,+4,7785.40
14,+5,7618.63
14,+6,7413.35
14,+7,7166.78
14,+8,6863.19
14,+9,6511.91
14,+10,6110.524
14,+11,5634.251
14,+12,5110.83601
14,+13,2673.177958
15,0,9305.8
15,+1,9295.3
15,+2,9275.5
15,+3,9245.4
15,+4,9193.9
15,+5,9128.8
15,+6,8908.4
15,+7,8644.9
15,+8,8335.2
15,+9,7962.95
15,+10,7538.55
15,+11,7059.11
15,+12,6498.492
15,+13,5886.75082
15,+14,3069.842145
16,0,10859.7
16,+1,10849.2
16,+2,10825.9
16,+3,10791.1
16,+4,10743.9
16,+5,10671.3
16,+6,10583.2
16,+7,10302.2
16,+8,9973.4
16,+9,9593.6
16,+10,9145.9
16,+11,8641.33
16,+12,8076.93
16,+13,7424.962
16,+14,6717.96908
16,+15,3494.188518
17,0,12556.4
17,+1,12543.5
17,+2,12519.6
17,+3,12479.8
17,+4,12426.6
17,+5,12358.9
17,+6,12261.9
17,+7,12147.7
17,+8,11799.5
17,+9,11398.6
17,+10,10941.9
17,+11,10411.9
17,+12,9820.4
17,+13,9164.06
17,+14,8413.833
17,+15,7604.63544
17,+16,3946.29179
18,0,14400.8
18,+1,14385.0
18,+2,14357.4
18,+3,14316.7
18,+4,14257.1
18,+5,14182.2
18,+6,14090.9
18,+7,13966.6
18,+8,13823.1
18,+9,13400.5
18,+10,12920.8
18,+11,12380.3
18,+12,11761.4
18,+13,11075.9
18,+14,10320.7
18,+15,9465.264
18,+16,8546.88966
18,+17,4426.22407
19,0,16382
19,+1,16378
19,+2,16346
19,+3,16300
19,+4,16239
19,+5,16156
19,+6,16057
19,+7,15939
19,+8,15786
19,+9,15610
19,+10,15106
19,+11,14540.0
19,+12,13908.9
19,+13,13194.3
19,+14,12408.0
19,+15,11547.0
19,+16,10579.398
19,+17,9544.85694
19,+18,4934.04979
20,0,18510
20,+1,18505
20,+2,18492
20,+3,18441
20,+4,18374
20,+5,18290
20,+6,18181
20,+7,18053
20,+8,17907
20,+9,17717
20,+10,17507
20,+11,16915
20,+12,16257
20,+13,15528.2
20,+14,14711.0
20,+15,13817.0
20,+16,12843.3
20,+17,11756.447
20,+18,10598.7212
20,+19,5469.86358
21,0,20788
21,+1,20781
21,+2,20769
21,+3,20744
21,+4,20671
21,+5,20578
21,+6,20467
21,+7,20330
21,+8,20171
21,+9,19991
21,+10,19767
21,+11,19516
21,+12,18829
21,+13,18072
21,+14,17238.3
21,+15,16311.7
21,+16,15303.1
21,+17,14209.7
21,+18,12996.616
21,+19,11708.6600
21,+20,6033.75643
22,0,23221
22,+1,23215
22,+2,23201
22,+3,23174
22,+4,23130
22,+5,23031
22,+6,22911
22,+7,22771
22,+8,22600
22,+9,22408
22,+10,22192
22,+11,21927
22,+12,21635
22,+13,20848
22,+14,19984
22,+15,19039.5
22,+16,17996.9
22,+17,16866.7
22,+18,15646.4
22,+19,14300.089
22,+20,12874.8328
22,+21,6625.81023
23,0,25820
23,+1,25812
23,+2,25797
23,+3,25769
23,+4,25722
23,+5,25656
23,+6,25528
23,+7,25378
23,+8,25205
23,+9,24998
23,+10,24768
23,+11,24513
23,+12,24204
23,+13,23868
23,+14,22972
23,+15,21995
23,+16,20932
23,+17,19766.8
23,+18,18508.0
23,+19,17153.7
23,+20,15667.093
23,+21,14097.4374
23,+22,7246.12624
24,0,28582
24,+1,28576
24,+2,28559
24,+3,28528
24,+4,28479
24,+5,28410
24,+6,28319
24,+7,28158
24,+8,27973
24,+9,27764
24,+10,27520
24,+11,27249
24,+12,26952
24,+13,26597
24,+14,26213
24,+15,25201
24,+16,24104
24,+17,22916
24,+18,21621.6
24,+19,20227.0
24,+20,18731.9
24,+21,17097.849
24,+22,15376.6654
24,+23,7894.80289
25,0,31514
25,+1,31507
25,+2,31491
25,+3,31457
25,+4,31406
25,+5,31333
25,+6,31238
25,+7,31119
25,+8,30923
25,+9,30702
25,+10,30453
25,+11,30167
25,+12,29853
25,+13,29509
25,+14,29107
25,+15,28671
25,+16,27537
25,+17,26313
25,+18,24993
25,+19,23561.7
25,+20,22024.6
25,+21,20381.3
25,+22,18592.613
25,+23,16712.7408
25,+24,8571.95438
26,0,34619
26,+1,34611
26,+2,34595
26,+3,34564
26,+4,34510
26,+5,34434
26,+6,34335
26,+7,34210
26,+8,34060
26,+9,33825
26,+10,33564
26,+11,33272
26,+12,32941
26,+13,32581
26,+14,32189
26,+15,31733
26,+16,31243
26,+17,29981
26,+18,28623
26,+19,27164
26,+20,25588
26,+21,23901
26,+22,22102.0
26,+23,20151.634
26,+24,18105.8751
26,+25,9277.6886
27,0,37899
27,+1,37892
27,+2,37875
27,+3,37841
27,+4,37790
27,+5,37710
27,+6,37608
27,+7,37479
27,+8,37322
27,+9,37136
27,+10,36861
27,+11,36554
27,+12,36218
27,+13,35840
27,+14,35430
27,+15,34990
27,+16,34478
27,+17,33931
27,+18,32533
27,+19,31028
27,+20,29423
27,+21,27699
27,+22,25855
27,+23,23894.6
27,+24,21775.187
27,+25,19556.3113
27,+26,10012.1297
28,0,41355
28,+1,41347
28,+2,41330
28,+3,41294
28,+4,41240
28,+5,41164
28,+6,41056
28,+7,40923
28,+8,40761
28,+9,40569
28,+10,40343
28,+11,40025
28,+12,39672
28,+13,39288
28,+14,38859
28,+15,38395
28,+16,37901
28,+17,37329
28,+18,36723
28,+19,35182
28,+20,33536
28,+21,31778
28,+22,29898
28,+23,27890
28,+24,25759.2
28,+25,23463.538
28,+26,21064.2795
28,+27,10775.3948
29,0,45000
29,+1,45000
29,+2,44980
29,+3,44940
29,+4,44880
29,+5,44800
29,+6,44700
29,+7,44560
29,+8,44390
29,+9,44190
29,+10,43960
29,+11,43700
29,+12,43330
29,+13,42930
29,+14,42493
29,+15,42010
29,+16,41491
29,+17,40938
29,+18,40306
29,+19,39635
29,+20,37945
29,+21,36145
29,+22,34227
29,+23,32183
29,+24,30003
29,+25,27696.1
29,+26,25217.008
