zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
72 50 1 414.561 8.17361 281.663 17.2117 148.765 288.915 130.198 592.84 112.838 928.986 96.6847 1297.35
72 55 1 370.776 8.83803 249.507 18.6353 128.238 281.692 112.189 575.304 97.1938 899.472 83.2505 1254.2
72 60 1 334.569 9.49574 223.167 20.0427 111.765 274.682 97.7448 558.413 84.6512 871.236 72.4844 1213.15
72 65 1 304.136 10.1448 201.232 21.4022 98.3288 267.776 85.9672 541.847 74.4286 843.615 63.713 1173.08
72 70 1 278.205 10.6373 182.71 22.2632 87.2147 261.137 76.2289 526.451 65.9792 818.206 56.4655 1136.4
72 75 1 255.851 11.0301 166.88 23.1123 77.9095 254.671 68.0784 511.417 58.9098 793.348 50.4036 1100.47
72 80 1 236.386 11.4174 153.211 23.9494 70.0361 248.473 61.1842 497.277 52.9318 770.362 45.2791 1067.73
72 85 1 219.289 11.7993 141.3 24.7747 63.3117 242.39 55.2977 483.431 47.8291 747.899 40.906 1035.79
72 90 1 204.159 12.1758 130.84 25.5555 57.5206 236.403 50.2296 469.916 43.437 726.093 37.1428 1004.94
72 95 1 190.678 12.4771 121.587 26.0359 52.496 231.164 45.8334 458.26 39.6281 707.324 33.8801 978.354
72 100 1 178.596 12.6936 113.352 26.5102 48.1071 226.14 41.9942 447.011 36.3025 689.125 31.032 952.482
72 105 1 167.711 12.9074 105.98 26.9785 44.25 221.19 38.621 435.93 33.3812 671.198 28.5305 926.994
72 110 1 157.857 13.1132 99.349 27.2936 40.8416 216.767 35.6407 426.445 30.8007 656.326 26.3213 906.411
72 115 1 148.898 13.2407 93.3561 27.5774 37.8141 212.688 32.9941 417.606 28.5095 642.331 24.3601 886.864
72 120 1 140.722 13.3669 87.9175 27.8581 35.1126 208.668 30.6328 408.896 26.4656 628.542 22.6109 867.605
72 125 1 133.235 13.4918 82.9631 28.1358 32.6915 204.708 28.517 400.313 24.6345 614.952 21.0441 848.624
72 130 1 126.355 13.6153 78.4342 28.2921 30.513 200.996 26.6135 392.267 22.9874 602.104 19.6349 830.507
72 135 1 120.016 13.68 74.2809 28.4307 28.5457 197.615 24.8947 384.822 21.5004 590.05 18.3628 813.301
72 140 1 114.159 13.7399 70.4608 28.5683 26.7628 194.282 23.3373 377.482 20.1532 578.167 17.2105 796.338
72 145 1 108.733 13.7994 66.9376 28.705 25.142 190.997 21.9217 370.245 18.9288 566.45 16.1633 779.611
72 150 1 103.696 13.8585 63.68 28.8405 23.6641 187.804 20.631 363.292 17.8126 555.306 15.2088 763.845
72 155 1 99.0089 13.9172 60.6608 28.8774 22.3126 185.016 19.4509 357.537 16.7921 546.439 14.3362 751.724
72 160 1 94.6392 13.9388 57.8564 28.9147 21.0736 182.493 18.3691 352.249 15.8568 538.18 13.5365 740.288
72 165 1 90.5576 13.9528 55.2462 28.9524 19.9347 180.006 17.3749 347.034 14.9972 530.035 12.8017 729.01
72 170 1 86.7384 13.9671 52.812 28.9905 18.8855 177.554 16.459 341.892 14.2055 522.003 12.125 717.888
72 175 1 83.1588 13.9816 50.5378 29.0289 17.9168 175.136 15.6135 336.819 13.4747 514.08 11.5003 706.918
72 180 1 79.7986 13.9964 48.4095 29.0676 17.0204 172.75 14.8312 331.816 12.7986 506.264 10.9225 696.095
72 185 1 76.6397 14.0113 46.4146 29.0265 16.1894 170.534 14.1061 327.172 12.1719 498.938 10.387 685.834
72 190 1 73.6658 14.0088 44.5417 28.9809 15.4176 168.716 13.4326 323.224 11.5899 492.504 9.88966 676.556
72 195 1 70.8625 13.9859 42.7809 28.9367 14.6994 166.923 12.8059 319.329 11.0485 486.156 9.42702 667.403
72 200 1 68.2166 13.9637 41.1233 28.8939 14.0299 165.154 12.2218 315.487 10.5439 479.893 8.9959 658.371
72 205 1 65.7164 13.9421 39.5606 28.8525 13.4049 163.41 11.6766 311.697 10.0728 473.713 8.5935 649.458
72 210 1 63.3512 13.9213 38.0858 28.8123 12.8204 161.689 11.1668 307.957 9.63243 467.614 8.21731 640.661
72 215 1 61.1111 13.901 36.6921 28.7734 12.2731 159.992 10.6894 304.265 9.2201 461.594 7.8651 631.978
72 220 1 58.9875 13.8813 35.3737 28.7357 11.7599 158.397 10.2418 300.943 8.83348 456.373 7.53488 624.688
72 225 1 56.9723 13.8622 34.1251 28.6991 11.278 156.879 9.82151 297.885 8.47048 451.717 7.22485 618.377
72 230 1 55.0582 13.8437 32.9415 28.6637 10.8248 155.38 9.42634 294.867 8.12921 447.122 6.9334 612.148
72 235 1 53.2383 13.8257 31.8183 28.6293 10.3982 153.902 9.05433 291.888 7.80797 442.587 6.65908 606
72 240 1 51.5067 13.8083 30.7514 28.596 9.99606 152.443 8.70372 288.947 7.50522 438.11 6.40056 599.932
72 245 1 49.8576 13.7914 29.7371 28.5638 9.61662 151.002 8.3729 286.045 7.21957 433.691 6.15665 593.941
72 250 1 48.2858 13.7749 28.772 28.5325 9.25817 149.581 8.06039 283.179 6.94976 429.327 5.92629 588.026
72 255 1 46.7865 13.759 27.8529 28.5022 8.91919 148.177 7.76488 280.349 6.69464 425.019 5.70847 582.186
72 260 1 45.3554 13.7435 26.9768 28.4729 8.59829 146.791 7.48515 277.555 6.45316 420.764 5.50231 576.419
72 265 1 43.9883 13.7285 26.1413 28.4444 8.29423 145.423 7.2201 274.796 6.22436 416.563 5.30699 570.724
72 270 1 42.6815 13.714 25.3437 28.407 8.00583 144.062 6.96873 272.061 6.00738 412.403 5.12177 565.09
72 275 1 41.4315 13.6998 24.5818 28.3422 7.73204 142.827 6.7301 269.566 5.80141 408.561 4.94596 559.81
72 280 1 40.235 13.6861 23.8534 28.2786 7.47189 141.917 6.50338 267.634 5.60572 405.429 4.77893 555.304
72 285 1 39.089 13.6603 23.1567 28.2164 7.2245 141.019 6.28778 265.726 5.41965 402.337 4.62011 550.853
72 290 1 37.9907 13.6312 22.4899 28.1554 6.98904 140.132 6.08259 263.842 5.24257 399.284 4.46898 546.458
72 295 1 36.9376 13.6026 21.8512 28.0956 6.76476 139.258 5.88715 261.982 5.07391 396.268 4.32504 542.117
72 300 1 35.9271 13.5747 21.239 28.0371 6.55096 138.394 5.70085 260.145 4.91315 393.29 4.18785 537.829
72 305 1 34.957 13.5473 20.652 27.9798 6.347 137.542 5.52314 258.331 4.75981 390.348 4.05699 533.593
