zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
88 50 1 1639.91 1.76939 966.953 3.75377 293.993 129.146 256.803 272.626 222.019 434.193 189.642 613.848
88 55 1 1389.54 2.0252 823.008 4.28943 256.48 128.703 223.97 270.337 193.585 429.19 165.324 605.262
88 60 1 1197.85 2.27581 711.924 4.8097 225.994 128.297 197.297 268.155 170.492 424.384 145.58 596.983
88 65 1 1047.14 2.49813 623.985 5.25827 200.83 127.033 175.287 264.588 151.441 417.924 129.294 587.042
88 70 1 925.996 2.86885 552.883 6.00788 179.77 125.521 156.87 260.34 135.503 410.468 115.669 575.902
88 75 1 826.817 3.05689 494.385 6.41341 161.952 123.701 141.292 255.75 122.024 402.561 104.149 564.133
88 80 1 744.349 3.25294 445.541 6.83024 146.733 121.948 127.99 251.292 110.518 394.861 94.3166 552.656
88 85 1 674.85 3.44785 404.235 7.18584 133.62 120.186 116.531 246.886 100.608 387.286 85.8502 541.386
88 90 1 615.595 3.59024 368.914 7.48911 122.232 118.191 106.582 242.144 92.0059 379.346 78.5021 529.799
88 95 1 564.552 3.73218 338.408 7.79082 112.265 116.244 97.8763 237.539 84.4787 371.674 72.0721 518.649
88 100 1 520.186 3.87314 311.837 8.09006 103.488 114.395 90.2106 233.188 77.8513 364.47 66.4107 508.241
88 105 1 481.325 4.01282 288.524 8.38637 95.7225 112.584 83.429 228.923 71.9896 357.406 61.4042 498.031
88 110 1 447.044 4.15109 267.929 8.6795 88.8151 110.809 77.3984 224.741 66.7779 350.475 56.9536 488.011
88 115 1 416.609 4.28786 249.625 8.9687 82.6422 109.102 72.01 220.766 62.122 343.962 52.9782 478.688
88 120 1 389.434 4.40769 233.268 9.13945 77.1015 107.32 67.1743 216.779 57.9444 337.517 49.4117 469.534
88 125 1 365.037 4.48664 218.57 9.3086 72.1023 105.811 62.8112 213.288 54.1748 331.741 46.193 461.17
88 130 1 343.037 4.56484 205.309 9.47608 67.5804 104.336 58.8653 209.871 50.7662 326.082 43.2829 452.967
88 135 1 323.113 4.64228 193.295 9.64187 63.4765 102.914 55.2847 206.621 47.6735 320.763 40.6429 445.339
88 140 1 304.996 4.71896 182.368 9.80597 59.7398 101.534 52.025 203.491 44.8584 315.677 38.2401 438.093
88 145 1 288.464 4.79488 172.396 9.96838 56.3273 100.177 49.0485 200.413 42.2883 310.676 36.0467 430.967
88 150 1 273.327 4.87003 163.264 10.1291 53.2022 98.8429 46.323 197.385 39.9352 305.757 34.0387 423.957
88 155 1 259.421 4.94443 154.876 10.2882 50.33 97.5508 43.8181 194.449 37.7724 300.981 32.1929 417.15
88 160 1 246.612 5.0181 147.149 10.4457 47.6861 96.2994 41.5126 191.634 35.7819 296.45 30.4943 410.748
88 165 1 234.782 5.09103 140.015 10.5873 45.2469 95.0753 39.3857 188.937 33.946 292.171 28.9278 404.779
88 170 1 223.829 5.1601 133.41 10.6754 42.9916 93.8184 37.4195 186.228 32.2489 287.905 27.4798 398.848
88 175 1 213.664 5.20051 127.283 10.7629 40.902 92.7161 35.598 183.792 30.6769 283.991 26.1387 393.313
88 180 1 204.21 5.24063 121.586 10.8497 38.9621 91.7103 33.9072 181.529 29.2178 280.305 24.8941 388.04
88 185 1 195.399 5.28045 116.278 10.9359 37.1574 90.7243 32.3342 179.309 27.8605 276.689 23.7363 382.866
88 190 1 187.17 5.31999 111.323 11.0214 35.475 89.7617 30.8679 177.139 26.5953 273.154 22.657 377.805
88 195 1 179.473 5.35924 106.689 11.1062 33.9048 88.8643 29.4996 175.204 25.4146 270.127 21.6499 373.631
88 200 1 172.259 5.3982 102.348 11.1766 32.437 87.967 28.2206 173.287 24.3112 267.136 20.7088 369.514
88 205 1 165.489 5.43688 98.2761 11.227 31.0629 87.0634 27.0233 171.377 23.2783 264.168 19.828 365.437
88 210 1 159.125 5.45981 94.4498 11.2772 29.7745 86.2267 25.9008 169.587 22.3101 261.358 19.0023 361.539
88 215 1 153.134 5.48266 90.8495 11.3272 28.5649 85.4819 24.8471 167.959 21.4012 258.757 18.2273 357.877
88 220 1 147.486 5.50541 87.457 11.377 27.4276 84.7489 23.8564 166.355 20.5468 256.196 17.4988 354.271
88 225 1 142.155 5.52809 84.2556 11.4266 26.3566 84.0324 22.9235 164.787 19.7422 253.691 16.8127 350.743
88 230 1 137.116 5.55067 81.2315 11.4759 25.3471 83.3261 22.0442 163.241 18.9839 251.22 16.1662 347.263
88 235 1 132.348 5.57317 78.3713 11.525 24.3945 82.6298 21.2146 161.716 18.2685 248.783 15.5562 343.831
88 240 1 127.831 5.59558 75.6631 11.5739 23.4947 81.9433 20.431 160.212 17.5928 246.379 14.9802 340.445
88 245 1 123.548 5.6179 73.096 11.6055 22.6438 81.2492 19.69 158.711 16.9539 243.99 14.4355 337.087
88 250 1 119.482 5.64014 70.6602 11.6304 21.8382 80.5581 18.9885 157.223 16.3491 241.626 13.92 333.767
88 255 1 115.618 5.65259 68.3466 11.6554 21.0749 79.8883 18.3238 155.776 15.7761 239.32 13.4316 330.518
88 260 1 111.943 5.66383 66.147 11.6804 20.3508 79.3268 17.6934 154.519 15.2326 237.256 12.9684 327.538
88 265 1 108.444 5.6751 64.0537 11.7055 19.663 78.7771 17.0947 153.286 14.7164 235.233 12.5284 324.616
88 270 1 105.11 5.68641 62.0599 11.7306 19.0095 78.2349 16.5257 152.07 14.226 233.236 12.1104 321.732
88 275 1 101.931 5.69774 60.1593 11.7558 18.3879 77.7001 15.9846 150.87 13.7596 231.265 11.7129 318.885
88 280 1 98.8961 5.70911 58.3462 11.781 17.7963 77.1725 15.4696 149.685 13.3157 229.319 11.3346 316.074
88 285 1 95.9974 5.7205 56.615 11.8062 17.2327 76.652 14.979 148.516 12.8928 227.398 10.9742 313.298
88 290 1 93.2267 5.73191 54.961 11.8314 16.6953 76.1789 14.5113 147.524 12.4897 225.866 10.6307 311.205
88 295 1 90.5762 5.74335 53.3794 11.8567 16.1826 75.7135 14.065 146.55 12.1052 224.365 10.303 309.161
88 300 1 88.039 5.7548 51.866 11.8772 15.693 75.2495 13.6389 145.584 11.738 222.88 9.99019 307.138
88 305 1 85.6085 5.76628 50.4168 11.8871 15.2251 74.7823 13.2318 144.622 11.3872 221.407 9.69125 305.136
88 310 1 83.2787 5.77777 49.0282 11.8971 14.7776 74.3244 12.8423 143.68 11.0515 219.964 9.40527 303.176
88 315 1 81.0441 5.78323 47.6968 11.9073 14.3495 73.8724 12.4697 142.749 10.7305 218.539 9.13169 301.24
88 320 1 78.8996 5.78777 46.4196 11.9177 13.9395 73.494 12.113 141.947 10.4231 217.276 8.86982 299.482
88 325 1 76.8402 5.7924 45.1935 11.9282 13.5468 73.1363 11.7713 141.181 10.1287 216.063 8.61899 297.782
88 330 1 74.8615 5.79711 44.0159 11.9389 13.1704 72.7834 11.4438 140.426 9.84651 214.866 8.37858 296.104
88 335 1 72.9592 5.80191 42.8843 11.9497 12.8093 72.4352 11.1296 139.68 9.57586 213.684 8.14802 294.447
88 340 1 71.1295 5.80678 41.7962 11.9607 12.4628 72.0916 10.8282 138.944 9.31614 212.517 7.92677 292.811
88 345 1 69.3686 5.81172 40.7493 11.9719 12.1301 71.7525 10.5387 138.217 9.06677 211.364 7.71435 291.195
88 350 1 67.673 5.81674 39.7417 11.9832 11.8104 71.4179 10.2606 137.499 8.8272 210.226 7.51029 289.6
88 355 1 66.0396 5.82183 38.7714 11.9946 11.5031 71.0875 9.99324 136.79 8.59693 209.102 7.31415 288.024
88 360 1 64.4654 5.82699 37.8364 12.0061 11.2075 70.7615 9.73614 136.09 8.37548 207.992 7.12553 286.468
88 365 1 62.9473 5.83222 36.9352 12.0178 10.9231 70.4396 9.48875 135.399 8.1624 206.896 6.94405 284.93
88 370 1 61.4829 5.83751 36.0661 12.0296 10.6493 70.1219 9.2506 134.716 7.95728 205.813 6.76935 283.411
88 375 1 60.0696 5.84286 35.2276 12.0415 10.3856 69.8082 9.02121 134.042 7.75973 204.743 6.6011 281.911
88 380 1 58.705 5.84828 34.4182 12.0441 10.1314 69.4891 8.80018 133.367 7.56937 203.677 6.43899 280.42
88 385 1 57.3869 5.85375 33.6366 12.0446 9.88642 69.1717 8.5871 132.697 7.38587 202.621 6.28272 278.943
88 390 1 56.1131 5.85928 32.8816 12.0453 9.65011 68.8582 8.38159 132.036 7.20889 201.578 6.13202 277.485
88 395 1 54.8818 5.86282 32.1519 12.0462 9.42209 68.5486 8.1833 131.382 7.03814 200.547 5.98661 276.044
88 400 1 53.6909 5.86326 31.4465 12.0474 9.20198 68.2428 7.99189 130.737 6.87332 199.529 5.84627 274.619
88 405 1 52.5389 5.86381 30.7641 12.0487 8.98942 68.0205 7.80706 130.235 6.71417 198.693 5.71076 273.393
88 410 1 51.4239 5.86446 30.104 12.0503 8.78408 67.8076 7.6285 129.751 6.56043 197.88 5.57986 272.196
88 415 1 50.3444 5.86521 29.465 12.052 8.58561 67.5976 7.45594 129.273 6.41185 197.078 5.45336 271.013
88 420 1 49.299 5.86605 28.8464 12.054 8.39372 67.3904 7.2891 128.801 6.26821 196.286 5.33106 269.845
88 425 1 48.2861 5.86699 28.2471 12.0561 8.20813 67.1859 7.12773 128.335 6.12929 195.503 5.21279 268.69
88 430 1 47.3045 5.86802 27.6665 12.0585 8.02855 66.9841 6.97161 127.874 5.99488 194.729 5.09836 267.549
88 435 1 46.3528 5.86913 27.1038 12.061 7.85474 66.785 6.8205 127.42 5.86479 193.965 4.98761 266.422
88 440 1 45.4299 5.87034 26.5582 12.0636 7.68644 66.5885 6.67419 126.971 5.73884 193.21 4.88039 265.308
88 445 1 44.5346 5.87162 26.029 12.0665 7.52343 66.3945 6.53248 126.527 5.61685 192.464 4.77654 264.206
88 450 1 43.6658 5.873 25.5156 12.0695 7.36549 66.2031 6.39518 126.089 5.49866 191.727 4.67594 263.118
88 455 1 42.8224 5.87445 25.0174 12.0727 7.21241 66.0142 6.26211 125.656 5.38412 190.999 4.57843 262.042
88 460 1 42.0036 5.87598 24.5338 12.076 7.064 65.8297 6.1331 125.237 5.27307 190.297 4.48391 261.011
88 465 1 41.2083 5.87759 24.0642 12.0795 6.92006 65.6659 6.00798 124.896 5.16538 189.768 4.39224 260.284
88 470 1 40.4357 5.87927 23.608 12.0832 6.78042 65.5043 5.8866 124.559 5.06091 189.246 4.30332 259.567
88 475 1 39.6848 5.88103 23.1649 12.087 6.64489 65.3453 5.7688 124.227 4.95951 188.732 4.21702 258.86
88 480 1 38.9549 5.88286 22.7341 12.0909 6.51329 65.1899 5.65441 123.903 4.86105 188.229 4.13321 258.169
88 485 1 38.2452 5.88477 22.3154 12.095 6.3855 65.0366 5.54335 123.582 4.76546 187.733 4.05184 257.487
88 490 1 37.555 5.88674 21.9082 12.0992 6.26139 64.8853 5.43547 123.266 4.67261 187.242 3.97281 256.813
88 495 1 36.8835 5.88878 21.5122 12.1036 6.14081 64.736 5.33067 122.954 4.58241 186.758 3.89604 256.148
88 500 1 36.2302 5.89088 21.1269 12.1081 6.02363 64.5886 5.22883 122.646 4.49476 186.28 3.82144 255.491
88 505 1 35.5942 5.89305 20.752 12.1127 5.90973 64.4432 5.12984 122.341 4.40957 185.808 3.74892 254.842
88 510 1 34.9752 5.89529 20.3871 12.1175 5.79898 64.2996 5.03359 122.041 4.32673 185.341 3.67843 254.201
88 515 1 34.3723 5.89758 20.0318 12.1223 5.69127 64.1579 4.93998 121.744 4.24618 184.88 3.60987 253.567
88 520 1 33.7852 5.89994 19.6858 12.1273 5.58648 64.0181 4.84892 121.451 4.16781 184.425 3.54318 252.942
88 525 1 33.2132 5.90235 19.3489 12.1325 5.48452 63.88 4.76031 121.161 4.09157 183.976 3.47829 252.324
88 530 1 32.6558 5.90483 19.0205 12.1377 5.38528 63.7438 4.67408 120.875 4.01736 183.532 3.41514 251.713
88 535 1 32.1126 5.90736 18.7006 12.1431 5.28867 63.6093 4.59012 120.593 3.94512 183.093 3.35366 251.11
88 540 1 31.583 5.90994 18.3888 12.1485 5.1946 63.4765 4.50838 120.313 3.87478 182.659 3.2938 250.514
88 545 1 31.0666 5.91258 18.0848 12.1541 5.10297 63.3454 4.42876 120.038 3.80628 182.231 3.23551 249.926
88 550 1 30.5631 5.91528 17.7884 12.1598 5.01371 63.216 4.3512 119.765 3.73954 181.808 3.17872 249.344
88 555 1 30.0718 5.91802 17.4993 12.1656 4.92673 63.0882 4.27563 119.496 3.67452 181.39 3.12339 248.769
88 560 1 29.5925 5.92082 17.2172 12.1715 4.84195 62.9621 4.20197 119.231 3.61114 180.977 3.06947 248.201
88 565 1 29.1248 5.92367 16.9421 12.1774 4.75931 62.8375 4.13017 118.968 3.54937 180.569 3.0169 247.64
88 570 1 28.6683 5.92656 16.6735 12.1835 4.67874 62.7146 4.06017 118.709 3.48914 180.166 2.96566 247.086
88 575 1 28.2227 5.92951 16.4114 12.1897 4.60015 62.5932 3.99189 118.452 3.4304 179.767 2.91568 246.538
88 580 1 27.7876 5.9325 16.1555 12.196 4.5235 62.4733 3.9253 118.199 3.37311 179.373 2.86693 245.996
88 585 1 27.3626 5.93554 15.9057 12.2024 4.44871 62.3549 3.86033 117.949 3.31721 178.984 2.81938 245.461
88 590 1 26.9475 5.93862 15.6616 12.2088 4.37574 62.2381 3.79693 117.702 3.26267 178.6 2.77297 244.932
88 595 1 26.542 5.94174 15.4233 12.2154 4.30451 62.1227 3.73505 117.457 3.20944 178.22 2.72769 244.409
88 600 1 26.1458 5.94491 15.1904 12.222 4.23497 62.0087 3.67464 117.216 3.15748 177.844 2.68348 243.893
88 605 1 25.7585 5.94813 14.9628 12.2288 4.16708 61.8961 3.61566 116.978 3.10674 177.473 2.64031 243.382
88 610 1 25.38 5.95138 14.7404 12.2356 4.10077 61.785 3.55807 116.742 3.0572 177.106 2.59817 242.878
88 615 1 25.01 5.95467 14.523 12.2425 4.03601 61.6752 3.50181 116.509 3.00881 176.743 2.557 242.379
88 620 1 24.6482 5.95801 14.3104 12.2494 3.97274 61.5668 3.44685 116.279 2.96154 176.385 2.51678 241.886
88 625 1 24.2943 5.96138 14.1026 12.2565 3.91092 61.4598 3.39316 116.051 2.91535 176.031 2.47749 241.398
88 630 1 23.9482 5.96479 13.8993 12.2636 3.8505 61.3541 3.34068 115.826 2.87021 175.681 2.43909 240.917
88 635 1 23.6096 5.96824 13.7005 12.2708 3.79145 61.2496 3.28939 115.604 2.82609 175.334 2.40157 240.44
88 640 1 23.2783 5.97172 13.506 12.2781 3.73371 61.1471 3.23924 115.386 2.78295 174.994 2.36487 239.972
88 645 1 22.9541 5.97525 13.3157 12.2854 3.67725 61.0459 3.1902 115.17 2.74078 174.658 2.32899 239.51
88 650 1 22.6368 5.9788 13.1294 12.2928 3.62204 60.946 3.14224 114.957 2.69953 174.326 2.2939 239.053
88 655 1 22.3262 5.98239 12.9471 12.3003 3.56804 60.8473 3.09534 114.746 2.65919 173.998 2.25959 238.601
88 660 1 22.0222 5.98602 12.7687 12.3071 3.51521 60.749 3.04946 114.537 2.61973 173.672 2.22602 238.154
88 665 1 21.7244 5.98967 12.594 12.3115 3.46352 60.6494 3.00457 114.328 2.58112 173.348 2.19318 237.709
88 670 1 21.4329 5.99336 12.4229 12.3159 3.41294 60.5511 2.96064 114.122 2.54334 173.027 2.16105 237.269
88 675 1 21.1473 5.99708 12.2554 12.3205 3.36344 60.4539 2.91765 113.917 2.50637 172.711 2.1296 236.834
88 680 1 20.8675 6.00084 12.0913 12.3251 3.31499 60.3579 2.87557 113.715 2.47018 172.397 2.09882 236.404
88 685 1 20.5935 6.00462 11.9305 12.3298 3.26756 60.263 2.83438 113.516 2.43476 172.087 2.06869 235.979
88 690 1 20.3249 6.00843 11.773 12.3346 3.22111 60.1693 2.79405 113.318 2.40007 171.781 2.03919 235.558
88 695 1 20.0617 6.01228 11.6187 12.3395 3.17563 60.0767 2.75455 113.123 2.36611 171.478 2.0103 235.142
88 700 1 19.8038 6.01615 11.4674 12.3444 3.13109 59.9853 2.71587 112.93 2.33284 171.179 1.98201 234.731
88 705 1 19.5509 6.01885 11.3192 12.3495 3.08745 59.8949 2.67798 112.739 2.30026 170.882 1.9543 234.324
88 710 1 19.3031 6.02144 11.1739 12.3546 3.04471 59.8056 2.64086 112.551 2.26834 170.589 1.92715 233.922
88 715 1 19.06 6.02406 11.0314 12.3598 3.00282 59.7174 2.60449 112.364 2.23706 170.3 1.90055 233.525
88 720 1 18.8217 6.02672 10.8917 12.3651 2.96178 59.6391 2.56885 112.195 2.20642 170.032 1.87449 233.152
88 725 1 18.588 6.02943 10.7548 12.3704 2.92155 59.5974 2.53392 112.089 2.17638 169.844 1.84895 232.864
88 730 1 18.3587 6.03216 10.6204 12.3759 2.88212 59.5564 2.49968 111.984 2.14695 169.658 1.82391 232.579
88 735 1 18.1338 6.03493 10.4886 12.3813 2.84347 59.5161 2.46612 111.88 2.11809 169.475 1.79937 232.298
88 740 1 17.9131 6.03774 10.3593 12.3869 2.80557 59.4765 2.43322 111.779 2.0898 169.293 1.77532 232.021
88 745 1 17.6966 6.04057 10.2325 12.3925 2.76841 59.4375 2.40095 111.678 2.06206 169.115 1.75173 231.747
88 750 1 17.4841 6.04344 10.1081 12.3982 2.73197 59.3993 2.36931 111.579 2.03485 168.938 1.72859 231.476
88 755 1 17.2756 6.04634 9.98592 12.404 2.69622 59.3617 2.33828 111.482 2.00817 168.764 1.7059 231.209
88 760 1 17.0709 6.04927 9.86605 12.4098 2.66116 59.3247 2.30784 111.386 1.982 168.592 1.68365 230.945
88 765 1 16.87 6.05224 9.74838 12.4157 2.62676 59.2884 2.27797 111.291 1.95632 168.423 1.66181 230.685
